provider_id,provider_name,address,shopping_mall,account_owner_salesforce,account_manager_name,delivery_vertical,provider_status,lifecycle_status,orders_placed_24_30_aug,delivered_orders_24_30_aug,failed_orders_24_30_aug,rejected_by_provider_24_30_aug,cancelled_after_accept_24_30_aug,provider_name_databricks,address_databricks,in_original_sheet,completeness_note
65604,McDonald's Антоновича,"м. Київ, вул. Антоновича 176 (1 поверх), 03680",Ocean Plaza,Ganna Rudaia,Ganna Rudaia,food,active,ready_for_work,600,494,106,0,7,McDonald's Антоновича,"м. Київ, вул. Антоновича 176 (1 поверх), 03680",yes,
189214,McDonald's Океан Фудкорт,вулиця Антоновича 176 03150 Kyiv Ukraine,Ocean Plaza,Ganna Rudaia,Ganna Rudaia,food,active,ready_for_work,379,289,90,0,24,McDonald's Океан Фудкорт,вулиця Антоновича 176 03150 Kyiv Ukraine,yes,
173043,Salateira вулиця Антоновича,вулиця Антоновича 176 03150 Kyiv Ukraine,Ocean Plaza,Nataliia Klymas,Nataliia Klymas,food,active,ready_for_work,32,32,0,0,0,Salateira вулиця Антоновича,вулиця Антоновича 176 03150 Kyiv Ukraine,yes,
952733,Bowl&Rice Мішуги,вулиця Олександра Мишуги 4 02141 Kyiv Ukraine,Piramida,Ganna Rudaia,Ganna Rudaia,food,active,ready_for_work,2,1,1,0,0,Bowl&Rice Мішуги,вулиця Олександра Мишуги 4 02141 Kyiv Ukraine,yes,
202988,Chin Chin  вул.Олександра Мішуги,вулиця Олександра Мишуги 4 02141 Kyiv Ukraine,Piramida,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,28,26,2,0,0,Chin Chin  вул.Олександра Мішуги,вулиця Олександра Мишуги 4 02141 Kyiv Ukraine,yes,
154230,EatSushi Мішуги,вулиця Олександра Мишуги 4 02000 Kyiv Ukraine,Piramida,Ganna Rudaia,Ganna Rudaia,food,active,ready_for_work,0,0,0,0,0,EatSushi Мішуги,вулиця Олександра Мишуги 4 02000 Kyiv Ukraine,yes,
177071,Greek House ТРЦ Piramida,вулиця Олександра Мишуги 4 02141 Kyiv Ukraine,Piramida,Nataliia Klymas,Nataliia Klymas,food,active,ready_for_work,86,83,3,0,0,Greek House ТРЦ Piramida,вулиця Олександра Мишуги 4 02141 Kyiv Ukraine,yes,
108870,Gremio Grill вул. Олександра Мишуги,"м. Київ, Дарницький район, вул. Мишуги Олександра ,буд. 4, приміщення RB57-1",Piramida,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,14,13,1,0,0,Gremio Grill вул. Олександра Мишуги,"м. Київ, Дарницький район, вул. Мишуги Олександра ,буд. 4, приміщення RB57-1",yes,
1102513,NEWGREEN Мішуги,вулиця Олександра Мишуги 4 02141 Kyiv Ukraine,Piramida,Ganna Rudaia,Ganna Rudaia,food,active,ready_for_work,3,1,2,0,2,NEWGREEN Мішуги,вулиця Олександра Мишуги 4 02141 Kyiv Ukraine,yes,
161297,MeiWei Respublika,"м.Київ, Кільцева дорога 1б",Respublika Park,Marta Vaskina,,food,active,ready_for_work,10,8,2,0,1,MeiWei Respublika,"м.Київ, Кільцева дорога 1б",no,"Знайдено в Databricks за адресою/назвою ТРЦ, відсутній в исходній таблиці"
